TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
107;15593743000351;31700;************4017;1900;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:06:12.000;2018-02-28 23:06:10.000
108;17872744000107;47128;************5591;13552;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:04:06.000;2018-03-01 00:04:29.000
109;15593743000351;31700;************5016;2800;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:05:31.000;2018-02-28 23:05:29.000
110;10749204000183;9356;************738;1500;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:03:55.000;2018-03-01 00:04:39.000
111;09429293000100;38686;************3134;5000;1;Getnet;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:04:33.000;2018-03-01 00:04:33.000
112;17623082000123;46893;************4336;22072;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:03:55.000;2018-03-01 00:04:41.000
113;21960725000100;37804;************7171;1050;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:03:13.000;2018-03-01 00:03:15.000
114;14950233000160;936;************2725;400;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:01:46.000;2018-03-01 00:01:47.000
115;02012862006958;37953;************2377;8000;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:01:53.000;2018-03-01 00:01:55.000
116;30481457000126;39206;************3391;5553;1;Cielo;Débito à Vista;Electron;Recusada;TransaÃ§Ã£o InvÃ¡lida - tipo de transaÃ§Ã£o nÃ£o permitida para esse cartÃ£o (dÃ©bito, crÃ©tido, voucher, etc).;2018-03-01 03:02:04.000;2018-03-01 00:02:09.000
117;05535694000185;37318;************8128;2000;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:00:45.000;2018-03-01 00:00:45.000
118;22895641000194;32724;************8113;1684;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:00:56.000;2018-03-01 00:01:50.000
119;22913383000121;44104;************6806;3872;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:59:05.000;2018-02-28 23:59:39.000
120;30481457000126;39206;************1658;1400;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:00:25.000;2018-03-01 00:00:28.000
121;01965830000116;21627;************8103;4637;1;Redecard;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:58:55.000;2018-02-28 23:58:57.000
122;22895641000194;32724;************6445;1983;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:58:29.000;2018-02-28 23:59:23.000
123;15593743000513;35429;************2809;1200;1;Getnet;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:58:41.000;2018-02-28 23:00:27.000
124;28176030000172;34242;************2066;1398;1;Redecard;Voucher;Sodexo Alimentacao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:47.000;2018-02-28 23:57:49.000
